MonthlyCharges,TotalCharges
20.55,295.95
84.85,5459.2
33.15,444.75
92,6782.15
89.8,6510.45
115.8,8476.5
85.15,4461.85
24.85,62
64.35,352.65
20.5,1424.9
100.15,6413.65
86.05,6309.65
50.8,50.8
89,5898.6
64.8,4719.75
19.8,457.3
93.4,5822.3
73.65,1463.5
95.1,307.4
94.65,2104.55
80.6,319.15
39,2337.45
20.5,104.3
85.55,5084.65
26.4,121.25
98.2,7015.9
97.55,5598
19.95,1269.1
50.8,3027.4
99.7,4634.35
34.8,113.95
105.1,1582.75
60.15,3077
64.75,4039.5
54.65,1665.2
110.1,1043.3
19.3,504.2
83.9,497.55
111.25,7511.65
35.8,1782
20.05,20.05
84.35,609.65
110.5,2857.6
91.2,3247.55
100.55,6215.35
89.3,2823
103.85,5017.9
81.1,2619.25
24.6,24.6
81.2,4965.1
94.3,2679.7
116.1,8310.55
105.55,5682.25
98.9,1120.95
94.4,4914.9
19.5,27.55
98.3,923.5
93.85,1625.65
105.6,6068.65
81.35,5398.6
100.5,918.6
56.4,234.85
65.35,1231.85
19.95,170.9
111.25,7984.15
72.85,688.65
89,1288.3
106.1,7848.5
20.05,267
25.2,1798.9
73.55,73.55
75.4,1643.55
65.55,4807.45
80.7,2193
104.55,2239.4
24.15,1505.9
20.45,255.35
75.4,1189.4
79.7,4786.15
81.7,1820.9
76.3,2404.15
79.4,205.05
81.15,952.3
103.75,7039.45
86.45,2538.05
75.1,1212.85
80.6,2651.1
19.3,1304.8
84.6,360.1
33.6,435.45
83.25,308.05
80.85, 
79.05,434.5
108.05,7118.9
19.9,320.45
21.05,531.55
30.15,382.2
79.85,2001
65.5,4919.7
104.1,5645.8
74.4,215.8
20.5,77.6
91.35,2896.55
99.05,3395.8
20.5,759.35
44.95,85.15
75.6,535.55
55.1,1253.15
58.95,955.15
95.1,2162.6
44.7,44.7
25.45,1813.35
56.75,245.15
81.75,2028.8
86.1,2723.75
29.8,220.45
20.5,365.8
60.9,551.95
73.25,4054.2
45.7,45.7
100.3,832.35
19.25,112.3
20.85,60.65
77.35,5550.1
96,174.8
90.55,90.55
93.85,4733.1
70.1,4048.95
30.35,1359.7
75.95,4542.35
108.05,7532.15
69.9,69.9
75.25,888.65
103.75,6383.35
54.95,1916
19.5,413
19.6,808.95
47.85,1886.4
86.6,86.6
23.75,1679.25
80.6,2656.5
43.8,540.95
19.75,19.75
19.15,537.35
19.6,678.8
80.3,4513.65
24.35,1423.85
25.25,555.4
26.1,225.55
20,268.45
85.3,2917.5
70,2416.1
94.3,424.45
20.7,1492.1
70.3,132.4
95.35,660.9
75.5,1893.95
69.55,284.9
19.85,784.25
20,417.7
95.85,5016.25
90.1,1612.75
68.95,119.75
99.55,3204.65
20.75,485.2
50.15,160.85
58.65,4145.25
95.9,827.45
49.5,49.5
57.45,990.85
53.65,696.35
80.1,5585.4
24.4,1601.2
40.05,162.45
19.5,470.2
51.05,2066
54.35,1426.45
84.7,392.5
86.1,3861.45
70.35,2552.9
110,6668.35
100.6,819.4
94.9,4615.25
83.75,2070.6
88.3,273.75
69.75,3557.7
71.6,1957.1
92.1,729.95
23.65,1416.75
81.85,5924.4
25.1,1697.7
114.7,7849.85
49.15,649.4
80.9,4557.5
79.45,3013.05
90.45,1266.1
19.3,360.35
70.2,1046.5
69.75,2347.9
54.25,447.75
99.3,4209.95
74,3877.65
50.25,152.3
19.8,572.2
19.65,19.65
43.65,526.95
35.5,552.7
80.75,3208.65
39.5,210.75
97.1,3706.95
19.55,620.75
80,412.5
84.7,832.05
89.55,185.55
90.6,1943.2
20.05,505.9
112.4,8046.85
50.2,1815.3
62.25,612.95
55.7,795.15
90.05,2169.8
19.65,973.1
89.25,2210.2
99.05,4853.75
54,1055.9
69.75,144.55
49.05,91.1
56.75,1304.85
98.05,713
21.1,21.1
96.65,5580.8
24.5,1497.9
114.5,4527.45
79.2,4590.35
69.55,200.2
20.05,614.45
98.85,4564.9
25.75, 
80.95,171.15
19.6,1012.4
74.3,940.35
89.7,1047.7
87.65,2766.4
100.45,1622.45
74.75,1129.35
107.45,5680.9
75.35,2243.9
64.95,4523.25
100.45,7159.7
68.5,2839.95
80.55,80.55
81.25,580.1
90.4,2178.6
89.55,6038.55
55.7,259.4
24.8,324.15
20,417.65
56.15,168.15
105.2,5637.85
19.55,839.4
79.75,769.1
97.45,6253
24.25,1641.8
24.6,1678.05
50.15,2058.5
39.6,2424.5
94.4,387.2
89.85,6293.45
78.95,2839.65
98.85,3145.9
53.85,2200.7
24.25,914.4
89.45,4577.75
105.25,4997.5
59.5,4144.8
70.55,1493.55
82.5,4179.1
44.85,893.55
61.6,1611
49.05,593.05
105.65,4284.8
74.65,544.55
66.25,1533.8
19.4,529.8
86.05,3865.6
19.15,515.75
64.7,941
104.05,1133.65
19.25,48.35
81.95,2070.05
114.65,8333.95
20,1209.25
19.8,1396.25
65.15,723.35
19.65,228.65
88.95,1161.75
20.2,98.35
75.2,775.3
56.8,1074.65
35.55,35.55
75.5,2324.7
35.6,1072.6
60.25,170.5
95.15,196.9
96.65,1162.85
40.35,1677.85
18.85,18.85
54.85,370.4
64.3,3410.6
24.65,1138.8
76.1,5264.25
18.7,1005.7
97.95,5936.55
94.1,5475.9
80.4,224.05
95.1,2326.05
31.35,31.35
72.35,4991.5
89.75,1052.4
82.7,5831.2
19.9,510.8
53.8,283.95
51.55,1295.4
19.65,19.65
44.05,3011.65
114,8093.15
94.4,5610.25
100.4,3217.65
19.85,19.85
54.25,773.2
80,1029.35
109.9,669.45
79.2,3593.8
101.35,1553.95
94.3,3953.15
49.8,1971.15
60.05,1236.15
53.75,3196
93.45,4872.2
87.9,1500.5
60.15,60.15
61.05,3478.75
104.05,7413.55
99.25,3532
85.7,256.75
104.85,3887.25
69.15,2490.15
90.45,593.45
74.45,3510.3
50.45,765.45
60,1259.35
85.25,5538.35
19.45,340.85
20.75,844.45
78.9,1348.95
104.5,3778
49.4,611.65
94.25,4867.95
25,1505.05
25.55,467.85
74.9,74.9
70.15,194.2
69.4,571.45
80.25,80.25
93.15,5253.95
69,1149.65
66.35,740.8
69.55,521.35
20.2,1412.65
86,1532.45
80.3,250.05
20.4,1090.6
23.75,1446.8
90.55,2282.55
70.45,4300.45
65.75,1111.2
24.6,190.1
69.25,4447.75
75.9,143.35
45.85,45.85
49.95,810.2
24.65,1830.05
90.4,2820.65
100.85,4847.35
75.35,4729.3
87.2,4017.45
64.4,1398.6
78.3,2564.3
24.7,1685.9
105.85,5826.65
98.3,6066.55
76.95,228.4
19.45,270.2
96.15,1529.2
58.7,168.6
20.15,536.35
64.5,1888.45
28.5,629.35
45.3,45.3
19.4,289.3
90.45,2117.25
105.15,4730.9
83.15,2033.05
90.15,987.95
45.05,45.05
103.2,5744.35
75.8,75.8
19.45,19.45
79.3,523.15
88.8,4805.3
30.9,59.05
85.9,6110.75
34.2,1596.6
20.15,1046.2
95.25,4424.2
50.3,92.75
80.15,194.55
51.25,612.1
89.6,6127.6
95.2,6671.7
94.8,5264.3
80.25,303.7
76.1,4818.8
110.15,6448.05
115.55,7159.05
24.65,1574.5
53.6,2879.2
19.45,86.05
88.2,4159.45
101.15,6638.35
56.8,3112.05
99.4,7168.25
20.1,1326.25
60.7,2234.55
20.95,495.15
114.85,8317.95
19.25,679.8
62.8,62.8
105.5,7544
19.85,1188.25
89.5,676.7
74.1,74.1
107.5,3242.5
19.55,1240.15
68.8,4111.35
84.45,5899.85
75,632.95
84.5,5193.2
111.2,7530.8
44.75,270.95
80.6,5460.2
80.7,1614.2
75.6,402.5
57.6,1367.75
44.05,483.7
110.6,7962.2
58.2,3810.8
81,3533.6
19.7,1396.9
85.6,1345.55
59.55,1646.45
115.55,8127.6
75.55,2680.15
86.6,1281
85.2,1553.9
97.65,3207.55
45.1,2049.05
70.95,3629.2
109.55,5124.55
89.55,3474.45
20.9,202.3
19.95,147.5
24.6,86.35
66.7,579
19.45,19.45
94.8,3131.55
65.85,3928.3
19.95,187.75
24.65,1710.15
20.35,76.35
69.25,69.25
51.25,2151.6
99.5,5961.1
54.25,1221.55
19.4,1496.45
56.25,1292.2
25.15,25.15
23.95,1713.1
35.4,1748.9
25.2,25.2
45,96.45
75.35,1114.55
20.4,609.1
20.15,20.15
105,7133.25
56.05, 
54.7,169.45
20,141.6
73.05,4688.65
20.5,563.05
100.75,5985
87.25,1258.6
19.95,373.5
79.95,857.2
49.65,2553.35
65.65,4322.85
20.45,250.8
60.95,4549.05
20.35,1359.5
88.35,1639.3
19.5,178.85
75.2,633.85
111.45,5315.1
70.15,735.5
94.75,889.9
95.05,1290
78.45,330.05
70.2,237.95
92,6474.4
85.5,4421.95
41.05,2452.7
85.6,813.85
82.15,4904.85
84.4,4484.05
60.9,2033.85
20.25,538.2
79.2,79.2
95.3,2192.9
19.85,19.85
84.35,3858.05
19.85,854.8
70,347.4
82.3,5815.15
66.8,3970.4
44.6,3058.15
98.45,6145.2
70.7,129.2
24.95,1165.9
49.95,49.95
69.25,1554
102.5,4904.25
86.55,5632.55
24.3,1643.25
58.35,740.55
94.25,3217.55
68.75,4888.2
85.8,2440.25
20.1,620.55
20.35,20.35
110.8,6840.95
73,3001.2
100.05,6254.2
82.85,319.6
84.35,1938.05
19.55,294.5
19.95,58.3
99.8,442.85
35,553
66.25,546.45
23.3,797.1
76,76
25.3,1673.8
44.55,343.45
104.1,7412.25
92.55,4039
93.85,170.85
101.45,2948.6
84.3,1308.4
94.55,6078.75
95.5,3418.2
100.3,6603.8
55.5,3166.9
49.85,865.75
89.55,6373.1
19.15,1177.05
99.8,5985.75
84.4,732.5
113.05,7869.05
101.1,1504.05
19.95,936.7
74.15,741.4
92,6585.2
73.85,3122.4
50.45,50.45
24.45,1088.25
24.8,615.35
64.85,2908.2
20.75,739.9
68.95,593.85
99.95,1132.75
109.4,7227.45
91.4,193.6
49,1291.35
50.25,2023.55
75.55,349.65
19.9,153.95
97.8,5458.8
100.3,5244.45
55.8,154.55
111.15,4507.15
98.55,2031.95
50.05,50.05
80.8,332.45
20.85,473.9
19.5,106.8
19.35,152.6
69.5,1199.4
48.8,2555.05
94.5,2979.2
20.65,654.85
106.05,3834.4
100,1534.75
108.3,4586.15
20.55,20.55
99.65,5941.05
85.3,424.15
95.9,2234.95
20,666.75
70.4,281
64.95,547.8
74.6,74.6
49.2,571.15
73.75,1756.6
92.3,5731.45
98.8,3475.55
19.2,156.85
88.65,2683.2
74.4,896.75
98.75,2407.3
95.95,4456.65
105.4,6998.95
20.25,36.8
106,6547.7
104.7,4346.4
49.05,2265
35.55,1309.15
65.1,4754.3
96.85,1235.55
69.75,3562.5
99.2,7213.75
96.7,2082.95
55.05,102.75
106.8,5914.4
51.25,51.25
57.75,1282.85
70.85,4738.85
19.55,19.55
88.2,1775.8
79.5,795.65
19.75,145
98.15,4993.4
20.25,61.45
79.15,4018.55
75.65,1146.65
94.25,6081.4
40.2,1478.85
19.95,243.65
55.35,2633.95
102.15,4735.35
71.1,1247.75
74.7,74.7
54.1,3794.5
19.65,1008.7
88.45,2130.55
76.65,1313.55
80.4,5727.15
19.25,1372.9
84.8,1203.9
25.8,25.8
19.5,1215.1
68.6,2877.05
92.6,1579.7
100.55,5514.95
20.55,96.1
42.6,72.4
19.6,55.25
67.45,2443.3
68.85,1970.5
43.55,335.4
109.85,7002.95
20.65,158.95
95.4,293.15
21,1493.75
56.2,1093.4
18.4,1057.85
90,190.05
25.75,882.55
19.6,300.4
75.35,1025.95
19.8,1436.95
64.2,475
75.75,5388.15
78.95,5730.15
100.85,819.55
50.3,217.1
80.3,4896.35
19.85,1434.1
21.1,937.1
69.95,330.15
50,1474.9
104.75,6536.5
19.85,1128.1
107.5,6873.75
85.9,2199.05
45.85,45.85
80.8,457.1
25.25,566.5
80.55,2471.6
81.5,3107.3
20.9,518.3
106.1,5769.75
91.7,91.7
67.25,832.3
95.6,1555.65
20.35,45.3
45.05,1790.6
74.95,74.95
34.65,246.6
69.35,261.65
95.35,898.35
81.55,4509.5
75.4,5480.25
67.8,653.15
111.4,1183.05
46.3,639.45
20.4,478.75
20.05,20.05
45,127.1
96.1,4391.45
19.65,270.6
99.5,6710.5
60.65,3975.9
98.6,1704.95
59.5,415.95
80.45,950.2
71.7,1497.05
36,780.15
65.2,3512.15
48.95,273.25
53.5,3517.9
80.45,3375.9
109.05,7508.55
26.3,1245.05
106.8,5347.95
64.95,493.65
19.35,1263.85
21.1,385.55
77.95,3384
18.85,84.2
26,1638.7
74.7,165.4
70.35,120.25
96.9,4473.45
19.55,520.55
80.4,5717.85
88.8,88.8
94.65,4312.5
90.25,2755.35
64.65,994.55
95.75,6511.25
19.55,1218.65
104.1,7447.7
89.05,1169.35
20.1,279.5
111.55,5720.35
60.5,3121.45
90.95,6468.6
87.4,5918.8
19.7,675.6
50.95,3521.7
20.05,923.1
19.4,1110.35
59.45,1611.65
94.75,2293.6
81.5,5553.25
29.05,44.75
86.45,3029.1
70.6,3231.05
97.2,5129.45
98.25,5508.35
75.75,655.9
59.2,1191.2
75.9,866.4
90.05,2627.2
70.95,4741.45
102.6,4009.2
85.35,1463.45
106.1,5082.8
43.8,43.8
59,3707.6
69.95,220.45
24.35,1133.7
29.45,1983.15
84.4,5746.75
45.05,770.6
20.65,134.05
87.1,6230.1
19.85,573.05
90.35,3419.3
109.8,3587.25
84.65,3541.35
65.5,3801.3
79.5,868.5
80.95,4859.1
56.15,1439.35
85.8,85.8
79.1,79.1
34.4,592.75
20.75,1185.95
18.8,18.8
44.3,134.5
90.8,4921.2
25.6,901.25
105.95,5341.8
70.8,4859.95
25.4,1139.2
108.8,7082.45
69.75,324.6
94.65,4812.75
96.05,4399.5
